circRNA	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
chr1_78917634_78921786_rev	0	0	0	2	0	0	0	0
chr1_78936295_78946426_rev	0	0	0	0	6	0	0	0
chr1_36092094_36091244_fwd	0	0	0	0	0	3	0	0
chr1_36092094_36091618_fwd	0	0	0	0	0	0	0	9
chr1_36092522_36091244_fwd	0	0	0	0	0	0	0	5
chr1_244411287_244424387_rev	0	0	0	1	0	0	0	0
chr1_244415981_244424387_rev	2	0	0	0	0	0	0	0
chr1_244418760_244420296_rev	0	0	0	0	0	0	0	0
chr1_244422835_244424387_rev	0	0	5	0	0	0	0	0
chr1_48539642_48590985_rev	0	0	0	0	0	0	0	0
chr1_99877828_99864386_fwd	0	0	0	0	0	0	3	0
chr1_99877828_99870400_fwd	0	0	0	0	0	4	0	0
chr1_99877828_99874687_fwd	0	0	0	0	0	0	0	0
chr1_99881691_99861503_fwd	0	0	0	0	0	0	0	0
chr1_99881691_99870400_fwd	0	0	0	0	0	0	0	0
chr1_99891739_99879923_fwd	0	0	0	0	0	0	0	0
chr1_99892607_99874687_fwd	0	0	0	0	0	0	0	5
chr1_99892607_99887978_fwd	0	0	0	0	0	0	0	6
chr1_99913738_99900636_fwd	0	0	0	0	0	0	0	0
chr1_99916731_99910712_fwd	0	0	3	0	0	0	0	0
chr1_35902070_35901948_fwd	0	0	0	0	0	0	0	0
chr1_35902337_35901474_fwd	0	0	0	0	0	2	0	0
chr1_35902337_35901948_fwd	0	0	0	0	0	3	0	0
chr1_35918423_35906935_fwd	0	8	0	0	0	0	0	0
chr1_35967075_35945692_fwd	0	0	0	0	0	0	0	0
chr1_35973511_35945692_fwd	0	0	0	0	0	4	0	0
chr1_35973511_35966955_fwd	0	0	0	0	0	3	0	0
chr1_35973511_35972024_fwd	0	0	4	0	5	0	0	0
chr1_35982712_35972024_fwd	0	0	0	0	0	0	0	0
chr1_35984548_35973375_fwd	0	0	0	5	0	0	0	0
chr1_36005858_35973375_fwd	0	0	0	0	0	0	0	0
chr1_36009594_36004341_fwd	0	0	0	0	1	4	0	0
chr1_36014048_36004341_fwd	0	0	0	0	0	3	0	0
chr1_36014048_36013630_fwd	0	0	0	0	0	2	0	0
chr1_36040441_36039790_fwd	0	0	4	0	0	2	0	0
chr1_36043548_35972024_fwd	0	0	0	1	0	0	0	0
chr1_36043548_36004341_fwd	0	0	0	0	0	0	0	0
chr1_36043548_36039790_fwd	0	0	0	0	0	2	0	14
chr1_35822982_35816882_fwd	0	0	0	0	0	0	0	0
chr1_35826835_35816882_fwd	0	0	0	0	0	0	7	0
chr1_35826835_35825313_fwd	0	0	3	0	0	0	0	0
chr1_35835993_35831427_fwd	0	1	2	0	0	0	0	5
chr1_35835993_35833990_fwd	0	0	5	0	0	0	0	0
chr1_35841750_35816882_fwd	0	0	0	1	0	0	0	0
chr1_35841750_35841165_fwd	0	0	0	0	0	0	0	0
chr1_35851053_35841165_fwd	0	0	4	0	0	0	0	0
chr1_246853091_246888517_rev	0	0	1	0	0	0	0	6
chr1_246853091_246918377_rev	0	0	0	0	0	0	0	0
chr1_246860899_246864116_rev	0	0	0	0	0	0	3	0
chr1_246863924_246867811_rev	0	0	0	0	0	0	3	0
chr1_246876037_246877302_rev	0	0	7	0	0	6	8	10
chr1_246876037_246888517_rev	0	0	4	0	0	4	0	2
chr1_246876037_246907758_rev	0	0	0	0	0	0	0	0
chr1_246894659_246918377_rev	0	0	0	0	0	0	0	0
chr1_246913232_246918377_rev	0	0	2	0	0	0	0	5
chr1_222693789_222703217_rev	0	0	0	0	0	0	3	0
chr1_26328209_26328873_rev	1	0	0	0	0	0	0	0
chr1_159122239_159132356_rev	0	0	0	0	0	0	0	0
chr1_4712699_4711900_fwd	0	0	0	2	0	0	0	0
chr1_33013207_33014594_rev	0	0	0	0	0	0	0	0
chr1_33021367_33031661_rev	0	0	0	0	0	0	0	0
chr1_39001106_38998171_fwd	0	0	1	3	0	0	2	0
chr1_45567020_45566569_fwd	0	0	0	0	0	3	0	0
chr1_243512324_243573048_rev	0	0	4	0	2	5	2	10
chr1_243512324_243843282_rev	0	0	0	0	0	0	0	0
chr1_243545510_243552943_rev	0	0	0	0	0	0	0	2
chr1_243545510_243573048_rev	0	2	5	5	25	39	13	38
chr1_243545510_243646037_rev	0	0	0	0	0	9	0	0
chr1_243545510_243695716_rev	0	0	0	0	0	0	4	5
chr1_243545510_243735116_rev	0	0	0	0	0	0	2	0
chr1_243545510_243735747_rev	0	0	0	0	0	0	0	0
chr1_243545510_243843282_rev	0	5	2	0	0	5	0	3
chr1_243552729_243563848_rev	0	0	0	0	6	0	0	0
chr1_243552729_243573048_rev	0	0	4	0	0	0	0	0
chr1_243552729_243843282_rev	0	0	0	0	0	4	0	0
chr1_243563720_243573048_rev	0	0	0	0	0	0	2	0
chr1_243563720_243843282_rev	0	0	3	2	0	0	0	0
chr1_243572926_243843282_rev	0	0	0	0	4	4	0	0
chr1_243613671_243637742_rev	0	0	2	1	0	4	4	18
chr1_243613671_243664883_rev	0	0	0	0	0	0	0	0
chr1_243613671_243695716_rev	0	0	1	0	4	0	0	6
chr1_243613671_243843282_rev	0	0	17	0	0	0	4	6
chr1_243637611_243695716_rev	0	0	1	0	0	0	0	0
chr1_243637611_243843282_rev	10	0	2	0	0	0	0	0
chr1_243645893_243843282_rev	0	0	0	0	0	0	19	0
chr1_243664772_243735116_rev	0	0	0	0	0	0	0	0
chr1_243664772_243843282_rev	0	0	0	0	0	3	0	0
chr1_243695591_243735747_rev	0	0	7	0	0	0	0	0
chr1_243695591_243843282_rev	3	0	0	0	0	0	0	2
chr1_18874463_18877612_rev	0	0	0	1	0	0	0	0
chr1_165679442_165683110_rev	12	0	1	0	0	18	0	0
chr1_165679442_165695397_rev	0	5	0	0	0	0	0	0
chr1_63396597_63370771_fwd	0	0	0	0	0	0	0	0
chr1_63412061_63402254_fwd	0	0	0	0	0	0	0	0
chr1_103575540_103565435_fwd	0	0	0	8	0	0	0	0
chr1_212997155_213007198_rev	2	0	0	0	0	0	0	2
chr1_212997155_213008466_rev	0	0	0	0	0	2	0	0
chr1_212997155_213013418_rev	0	0	1	0	3	0	0	0
chr1_213013093_213013418_rev	0	0	0	0	0	2	0	0
chr1_70270856_70276844_rev	0	0	0	0	0	4	0	0
chr1_70270856_70300908_rev	0	0	0	0	0	2	0	0
chr1_70270856_70306290_rev	0	0	3	0	0	0	0	0
chr1_70270856_70315566_rev	0	2	0	0	0	0	0	3
chr1_70274720_70313790_rev	0	0	0	0	3	0	0	0
chr1_70274720_70315566_rev	0	0	2	0	0	0	0	0
chr1_70292388_70300908_rev	0	0	0	0	0	2	0	0
chr1_70292388_70306290_rev	0	1	0	9	0	2	0	11
chr1_70292388_70315566_rev	16	32	6	4	12	28	15	19
chr1_70296130_70306290_rev	0	9	0	0	0	0	2	0
chr1_70296130_70315566_rev	1	0	0	0	0	6	4	0
chr1_70296130_70324957_rev	0	0	2	0	0	0	0	0
chr1_70300764_70306290_rev	0	0	0	0	0	2	0	0
chr1_70300764_70315566_rev	0	0	5	0	0	9	0	0
chr1_173624787_173627159_rev	0	0	0	0	0	2	0	0
chr1_173646846_173659433_rev	3	0	0	0	0	0	0	0
chr1_150223186_150229237_rev	0	0	0	0	0	0	0	2
chr1_150230571_150231926_rev	0	0	3	0	0	0	6	0
chr1_113897840_113901885_rev	0	2	0	0	0	0	0	0
chr1_10442441_10433842_fwd	0	0	0	2	0	0	0	0
chr1_10442441_10440347_fwd	0	1	0	0	0	6	0	2
chr1_94177612_94184288_rev	0	0	2	0	0	0	0	0
chr1_94201720_94231643_rev	0	0	2	0	0	0	0	0
chr1_94220258_94231643_rev	0	0	5	0	8	0	0	0
chr1_17588479_17580553_fwd	0	0	0	0	0	11	0	0
chr1_17603591_17580553_fwd	0	0	1	0	0	0	0	0
chr1_17607977_17602127_fwd	0	0	1	1	2	4	0	8
chr1_17607977_17607802_fwd	0	0	0	0	0	0	0	0
chr1_17619445_17602127_fwd	0	0	0	0	0	0	0	3
chr1_17627503_17580553_fwd	0	0	0	0	0	3	0	0
chr1_17632466_17627330_fwd	0	0	0	0	0	0	0	0
chr1_17635016_17632321_fwd	0	0	4	0	0	0	0	0
chr1_17635016_17634835_fwd	0	0	6	0	0	8	11	25
chr1_17656708_17654636_fwd	0	0	0	0	0	0	0	0
chr1_17664595_17654636_fwd	0	0	0	0	0	0	0	3
chr1_16201782_16202574_rev	0	3	2	0	0	4	0	0
chr1_155984394_155985449_rev	0	0	0	0	1	0	0	0
chr1_26732792_26729651_fwd	4	0	3	2	0	11	7	0
chr1_26763285_26760856_fwd	0	0	3	0	0	10	0	0
chr1_26773898_26773346_fwd	0	0	0	0	0	3	0	0
chr1_235135652_235155112_rev	0	0	0	1	0	0	0	0
chr1_235148404_235155112_rev	0	0	0	0	0	4	0	0
chr1_235152706_235155112_rev	0	0	13	0	5	0	9	0
chr1_235172618_235214026_rev	0	0	0	0	0	0	0	0
chr1_235219793_235246511_rev	0	0	0	0	0	4	0	0
chr1_235229231_235231189_rev	0	0	2	0	0	3	0	3
chr1_235234413_235255750_rev	0	0	0	0	0	0	0	3
chr1_235240313_235260752_rev	0	0	2	0	0	0	0	2
chr1_202135150_202135800_rev	0	0	0	1	0	0	0	0
chr1_202137965_202138448_rev	0	0	0	0	0	0	0	0
chr1_150814077_150817433_rev	0	0	0	0	0	3	0	0
chr1_150817920_150823345_rev	0	0	0	0	0	3	0	0
chr1_150817920_150826617_rev	0	0	10	0	5	35	0	21
chr1_150823194_150826617_rev	0	0	7	0	0	10	0	0
chr1_150823194_150832399_rev	0	0	0	0	0	0	0	0
chr1_150829093_150834640_rev	0	0	0	0	0	0	0	0
chr1_230997267_230988320_fwd	0	0	0	0	0	0	0	0
chr1_23442186_23442612_rev	0	0	0	0	0	6	0	0
chr1_155335268_155784389_rev	0	1	0	0	0	0	0	0
chr1_155341936_155346469_rev	0	0	0	0	0	0	0	6
chr1_155343314_155346469_rev	0	0	0	0	0	2	0	0
chr1_155346383_155347904_rev	0	2	3	0	0	5	0	0
chr1_155346383_155395553_rev	0	0	0	0	0	0	0	0
chr1_155352706_155354630_rev	0	0	0	0	0	3	0	4
chr1_155352706_155357749_rev	2	0	0	3	0	0	0	0
chr1_155357316_155360409_rev	0	0	0	0	0	0	0	0
chr1_155370504_155370983_rev	4	0	3	0	0	3	13	3
chr1_155370504_155380116_rev	0	0	0	0	0	0	0	0
chr1_155370504_155395553_rev	0	0	4	1	0	0	0	0
chr1_155370504_155439068_rev	0	2	0	0	0	0	0	0
chr1_155370504_155459898_rev	0	0	0	0	0	0	0	0
chr1_155378281_155380116_rev	0	0	3	0	0	0	0	6
chr1_155378281_155395553_rev	0	0	0	0	0	5	0	14
chr1_155378281_155415923_rev	0	2	0	0	4	3	0	2
chr1_155378281_155439068_rev	0	0	0	0	0	0	0	0
chr1_155378281_155459898_rev	0	44	0	0	0	0	0	0
chr1_155395459_155439068_rev	0	0	0	0	0	3	0	0
chr1_155395459_155459898_rev	0	0	4	0	0	10	6	24
chr1_155415744_155415923_rev	0	0	0	0	0	0	0	2
chr1_155415744_155439068_rev	0	0	0	0	0	0	0	0
chr1_155415744_155459898_rev	1	0	0	0	3	0	0	6
chr1_155438327_155439068_rev	9	30	78	1	32	172	91	101
chr1_155438327_155459898_rev	16	28	100	29	64	174	124	180
chr1_155438327_155521618_rev	0	0	0	0	0	0	0	0
chr1_155438327_155562295_rev	0	3	0	0	0	0	0	0
chr1_155459797_155482449_rev	0	0	0	0	0	0	0	0
chr1_155477886_155521618_rev	0	0	0	9	0	0	4	0
chr1_155520225_155679512_rev	0	0	0	0	3	4	0	0
chr1_155521100_155521618_rev	1	0	14	3	2	12	10	15
chr1_1512690_1477274_fwd	1	0	0	0	0	0	0	0
chr1_1516088_1478644_fwd	28	8	0	0	0	0	0	0
chr1_161784096_161778244_fwd	0	0	3	0	0	15	0	0
chr1_161792327_161791408_fwd	0	0	0	1	4	0	0	2
chr1_161802272_161778244_fwd	0	0	1	0	0	7	0	0
chr1_161821161_161802052_fwd	0	0	0	0	0	0	0	0
chr1_161821161_161819633_fwd	0	7	0	0	0	0	0	0
chr1_161851835_161821070_fwd	0	0	0	1	0	0	0	0
chr1_161853323_161802052_fwd	0	0	0	0	0	0	0	0
chr1_161853323_161846449_fwd	0	0	0	0	0	0	0	5
chr1_161863312_161791408_fwd	0	0	0	0	0	0	2	0
chr1_161863312_161846449_fwd	0	5	9	0	6	22	2	12
chr1_161912380_161791408_fwd	0	0	0	0	0	0	0	3
chr1_161912380_161846449_fwd	0	0	2	0	0	0	0	0
chr1_161912380_161851722_fwd	0	0	0	0	0	2	0	0
chr1_62821209_62803719_fwd	0	0	0	1	0	0	0	0
chr1_62841547_62803719_fwd	0	0	0	0	8	3	0	0
chr1_62841547_62829040_fwd	0	0	0	0	0	0	0	12
chr1_116398789_116384014_fwd	0	3	0	0	0	0	0	0
chr1_160125253_160123213_fwd	0	0	0	0	0	4	0	0
chr1_160130597_160130102_fwd	0	0	4	0	0	0	0	0
chr1_203683398_203682742_fwd	0	0	0	0	0	2	0	4
chr1_203708104_203707009_fwd	0	2	17	4	41	100	112	63
chr1_203708104_203707862_fwd	0	0	0	0	0	5	0	3
chr1_203712139_203707009_fwd	0	0	0	0	0	0	0	4
chr1_203712139_203707862_fwd	0	0	0	0	0	6	0	6
chr1_203720740_203713165_fwd	0	0	0	0	0	0	5	0
chr1_203721410_203720549_fwd	0	0	2	0	1	7	18	8
chr1_203722689_203703652_fwd	0	0	1	0	1	4	5	5
chr1_203722689_203710877_fwd	0	1	9	0	5	26	16	47
chr1_203722689_203713165_fwd	0	0	5	0	5	0	0	0
chr1_203722689_203720549_fwd	0	0	0	0	0	0	0	0
chr1_203727571_203723881_fwd	0	0	0	0	0	4	0	2
chr1_203733400_203723881_fwd	0	0	0	0	0	0	0	0
chr1_203733400_203727395_fwd	0	0	0	0	0	0	4	0
chr1_111456755_111456086_fwd	0	0	0	0	0	3	0	0
chr1_111459636_111456086_fwd	0	0	1	2	0	0	7	3
chr1_179492951_179491538_fwd	0	0	0	0	0	2	0	0
chr1_235454156_235458786_rev	0	0	0	0	0	5	0	0
chr1_235454156_235484515_rev	0	0	0	0	0	0	2	7
chr1_235455559_235484515_rev	0	12	0	0	0	0	0	2
chr1_235465636_235470960_rev	0	0	0	0	0	0	0	0
chr1_235465636_235484515_rev	0	0	0	0	0	0	0	0
chr1_235470850_235484515_rev	0	0	0	2	0	0	3	0
chr1_235470850_235494828_rev	0	0	0	0	0	0	0	0
chr1_235480054_235494828_rev	0	0	2	5	0	0	0	0
chr1_235480054_235496308_rev	0	0	1	1	0	0	0	0
chr1_235494681_235496308_rev	0	0	0	0	0	5	0	0
chr1_93567279_93567851_rev	0	0	8	0	11	6	0	0
chr1_93674614_93674941_rev	0	0	1	0	0	0	0	0
chr1_93674614_93706142_rev	0	0	0	0	0	0	0	2
chr1_114569992_114570750_rev	0	0	0	0	0	0	0	4
chr1_114575590_114576758_rev	0	0	0	0	0	0	3	0
chr1_85270618_85270906_rev	0	0	1	0	0	0	0	0
chr1_151046165_151045797_fwd	0	0	1	0	0	0	0	0
chr1_151047586_151045559_fwd	0	2	0	0	0	0	0	0
chr1_220069384_220074071_rev	0	0	0	0	1	0	0	0
chr1_190160668_190281750_rev	0	0	0	0	0	0	0	0
chr1_190226082_190281750_rev	0	0	0	0	0	0	0	0
chr1_190264865_190281750_rev	0	0	0	0	0	0	0	0
chr1_222715800_222715684_fwd	0	0	0	0	0	0	0	0
chr1_222722514_222715684_fwd	0	0	1	0	0	0	0	0
chr1_222725555_222715145_fwd	0	0	1	0	0	0	0	0
chr1_222725555_222724092_fwd	0	0	5	0	0	0	0	3
chr1_222730177_222724092_fwd	0	0	2	0	0	3	0	0
chr1_32368447_32369338_rev	0	0	0	0	0	0	0	0
chr1_32369230_32378839_rev	0	0	0	0	0	3	0	0
chr1_92129776_92088698_fwd	0	0	0	0	0	0	0	0
chr1_92147786_92139350_fwd	0	0	1	0	0	0	0	0
chr1_92182595_92177811_fwd	0	0	0	0	0	0	0	0
chr1_244479784_244477541_fwd	0	0	0	0	0	0	0	0
chr1_244499079_244477541_fwd	0	0	0	0	0	0	0	0
chr1_244518698_244477541_fwd	0	0	0	0	0	0	17	0
chr1_244561145_244552322_fwd	0	0	4	0	0	8	0	3
chr1_244561145_244560668_fwd	0	0	1	0	0	2	0	0
chr1_244572772_244560668_fwd	3	1	0	0	0	0	0	0
chr1_244610326_244605695_fwd	0	0	0	1	0	0	0	0
chr1_244617686_244605695_fwd	0	0	0	0	0	0	0	0
chr1_169800971_169798857_fwd	0	0	3	1	0	0	0	0
chr1_169807929_169798857_fwd	0	0	0	2	0	0	0	0
chr1_169807929_169800883_fwd	0	0	8	0	0	0	0	0
chr1_207027494_207027679_rev	23	0	10	3	0	0	0	0
chr1_207815929_207817414_rev	0	1	22	5	10	20	4	33
chr1_207815929_207819146_rev	0	0	0	0	0	0	0	2
chr1_230843354_230843896_rev	9	0	0	0	0	0	0	0
chr1_184598461_184590739_fwd	0	0	3	0	0	0	0	5
chr1_186391791_186390711_fwd	0	0	12	2	0	6	10	4
chr1_186394015_186390711_fwd	0	0	0	0	0	0	0	0
chr1_186411893_186406083_fwd	0	0	0	1	0	0	0	0
chr1_186417654_186393947_fwd	0	0	0	0	0	0	0	8
chr1_154212320_154212624_rev	0	0	0	0	0	0	0	2
chr1_64602912_64582156_fwd	0	0	0	0	0	0	0	0
chr1_64634260_64602806_fwd	0	0	0	0	0	0	0	0
chr1_64641969_64602806_fwd	0	0	0	0	0	0	0	0
chr1_64641969_64629355_fwd	1	0	6	5	0	2	0	0
chr1_64658873_64629355_fwd	0	0	0	0	0	0	0	7
chr1_64664679_64663695_fwd	0	0	0	0	2	0	0	0
chr1_64675983_64666057_fwd	0	0	3	0	0	0	0	0
chr1_64679756_64676895_fwd	0	0	0	0	0	0	0	0
chr1_64682106_64676895_fwd	0	0	0	0	0	0	0	0
chr1_181651441_181483744_fwd	0	0	0	0	0	0	6	0
chr1_175008706_175004614_fwd	0	0	0	0	0	7	0	0
chr1_200761098_200760839_fwd	0	0	3	0	0	8	5	0
chr1_200807537_200760839_fwd	0	0	0	0	2	0	0	0
chr1_200815644_200760839_fwd	0	24	12	5	10	34	23	25
chr1_200815644_200807376_fwd	0	0	0	1	1	0	0	2
chr1_200832845_200760839_fwd	0	0	0	0	2	0	0	0
chr1_200832845_200832200_fwd	0	0	1	0	0	0	0	0
chr1_200842087_200760839_fwd	0	0	1	0	0	0	0	0
chr1_200857424_200852541_fwd	0	0	0	0	5	0	0	0
chr1_6825210_6806983_fwd	0	0	5	2	0	15	3	0
chr1_6825210_6820181_fwd	0	1	0	1	0	0	3	0
chr1_6871840_6820181_fwd	0	0	2	0	0	0	0	0
chr1_40061812_40059334_fwd	0	0	0	0	0	0	0	0
chr1_40064559_40059334_fwd	0	0	1	0	0	0	0	0
chr1_40064559_40064227_fwd	0	0	4	2	0	37	11	38
chr1_223752956_223750890_fwd	0	0	2	0	0	0	0	0
chr1_223769909_223762186_fwd	0	0	0	0	0	0	3	0
chr1_223772239_223759270_fwd	0	0	0	0	0	0	0	2
chr1_223772239_223764150_fwd	0	0	0	0	0	0	0	0
chr1_112619883_112448942_fwd	0	0	1	0	0	0	0	0
chr1_112659779_112653598_fwd	7	2	7	3	0	14	0	19
chr1_112667145_112653598_fwd	0	0	0	0	0	0	2	0
chr1_112667145_112659022_fwd	0	0	0	0	0	0	0	0
chr1_112669605_112659022_fwd	0	0	0	0	0	0	0	0
chr1_19344358_19357563_rev	0	0	0	0	0	3	2	0
chr1_19344358_19419750_rev	0	0	0	0	0	4	0	0
chr1_19356635_19357563_rev	0	0	1	0	0	0	0	0
chr1_19378540_19385626_rev	0	5	0	0	0	0	0	0
chr1_15493892_15495452_rev	0	0	0	0	1	4	0	0
chr1_115725508_115740828_rev	0	0	2	0	0	0	0	0
chr1_52352532_52912225_rev	2	0	0	0	0	0	0	0
chr1_52352538_52912225_rev	0	0	0	0	0	0	0	0
chr1_93305388_93309790_rev	0	7	4	0	0	6	0	15
chr1_93305388_93325895_rev	0	0	1	0	0	0	0	0
chr1_93305388_93326662_rev	0	0	0	0	0	0	3	0
chr1_93192106_93183360_fwd	0	0	0	0	0	0	0	0
chr1_93193744_93183360_fwd	0	0	1	0	0	0	0	0
chr1_93207398_93183978_fwd	0	0	0	0	0	0	0	2
chr1_93216746_93210802_fwd	0	0	2	1	0	0	0	0
chr1_93216746_93212101_fwd	0	0	0	0	0	0	5	0
chr1_93226449_93217738_fwd	0	0	1	1	0	0	0	0
chr1_93232593_93210802_fwd	0	0	2	0	0	0	0	0
chr1_93258885_93183360_fwd	3	0	0	0	0	0	0	0
chr1_42480566_42473122_fwd	0	0	0	0	0	0	0	0
chr1_42482816_42480461_fwd	0	0	0	0	0	3	0	0
chr1_42498916_42480461_fwd	0	0	0	0	0	3	0	7
chr1_42581514_42577020_fwd	0	0	0	0	0	4	0	0
chr1_42611090_42589321_fwd	0	0	4	0	0	0	0	0
chr1_42653443_42566296_fwd	0	0	0	0	0	2	0	0
chr1_156317166_156334918_rev	0	0	0	0	0	0	0	2
chr1_156318868_156321025_rev	0	0	0	0	0	6	0	0
chr1_156320839_156334918_rev	0	0	0	0	0	0	0	6
chr1_156324972_156334918_rev	0	0	0	8	0	0	0	0
chr1_156333547_156334918_rev	0	0	17	3	11	0	18	0
chr1_156333547_156335888_rev	0	0	0	0	0	0	0	2
chr1_110892533_110891392_fwd	0	0	0	1	0	0	0	0
chr1_100442996_100390732_fwd	0	0	0	0	6	0	2	8
chr1_100442996_100424222_fwd	0	0	2	0	1	14	0	18
chr1_100455492_100390732_fwd	0	0	0	0	0	8	6	0
chr1_100455492_100424222_fwd	0	0	0	0	2	0	0	0
chr1_100462881_100439932_fwd	0	0	0	0	2	0	0	0
chr1_100468094_100439932_fwd	0	0	0	0	0	0	0	0
chr1_100468094_100442934_fwd	0	0	0	0	0	2	0	0
chr1_100484451_100424222_fwd	0	0	0	0	0	0	0	0
chr1_100499262_100494818_fwd	0	0	0	0	0	0	0	0
chr1_22086866_22078429_fwd	0	0	6	3	0	19	4	4
chr1_227004994_227017050_rev	0	0	6	0	0	8	0	0
chr1_227004994_227035607_rev	0	0	2	0	0	0	0	0
chr1_227016080_227023347_rev	0	0	0	0	0	2	0	0
chr1_227016080_227026152_rev	0	0	0	0	0	2	0	0
chr1_227016080_227035607_rev	0	0	0	0	0	0	0	6
chr1_227016080_227048010_rev	0	0	0	0	0	0	0	0
chr1_227023263_227033415_rev	0	0	0	0	0	0	3	0
chr1_227023263_227035607_rev	0	0	4	0	0	0	0	0
chr1_227026055_227035607_rev	0	0	0	0	0	6	0	0
chr1_227026055_227040236_rev	0	0	0	0	0	0	0	0
chr1_227026055_227048010_rev	0	0	0	0	0	0	0	0
chr1_227028657_227035607_rev	0	0	1	0	0	8	0	0
chr1_227035471_227069853_rev	0	0	0	0	0	2	0	0
chr1_227040131_227254155_rev	0	0	0	0	0	13	0	0
chr1_227069777_227074364_rev	0	0	0	0	0	0	0	0
chr1_227069777_227147559_rev	0	0	0	0	0	0	0	0
chr1_227112312_227112913_rev	0	0	0	0	0	0	5	0
chr1_227119804_227160636_rev	0	0	0	0	0	0	0	0
chr1_227139576_227147559_rev	0	0	4	0	0	6	3	7
chr1_227139576_227160636_rev	0	0	0	0	0	0	9	0
chr1_227160543_227254155_rev	0	0	0	0	0	0	0	0
chr1_227193786_227213219_rev	0	0	0	0	0	19	11	0
chr1_227193786_227254155_rev	0	0	0	0	0	5	4	2
chr1_193128138_193127848_fwd	0	0	5	0	0	0	0	0
chr1_193135589_193135391_fwd	0	0	0	0	0	0	0	0
